"ticker","address","decimals"
"BART","KT1WJVYEjLRirPQDSWqfggjqFGn14y9hiCBL",9
"BDoge","KT1Th57AbgJmiZWDny6Ewqd2sx5qSxJwu8ry",4
"BEEF","KT1BtmMAnmTGHAA9ZV8xPzuwZu4ibL7f5qb3",6
"BEEz","KT1A4tYKJDJHrLonvp4qkJpZz5fkoWcAxMxW",2
"BRR","KT1PmH3JCEo65koqSGGUArKSpbKMN8dJ3BPZ",6
"CRUNCH","KT1RRgK6eXvCWCiEGWhRZCSVGzhDzwXEEjS4",8
"CUU","KT1W1hafYEzQkQLXyRPTxMeG3UaoUSsW7wNR",2
"CVZA","KT1F3BqwEAoa2koYX4Hz7zJ8xfGSxxAGVT8t",8
"DONTz","KT1FaPEfr2hGTR1d4tN9VikubuSVS1CuuMJX",2
"DeanCoin","KT1BAPAVXMuYz63HrF9CGM9Gu8JVYTFpYqao",6
"ETHtz","KT1Evsp2yA19Whm24khvFPcwimK6UaAJu8Zo",18
"F15H","KT1CNEgfKrGWtYdWAGG3cyZAUcFFpotmAme9",2
"FLAME","KT1Q93ftAUzvfMGPwC78nX8eouL1VzmHPd4d",6
"GUTS","KT1WYQj3HEt3sxdsV4dMLA8RKzUnYAzXgguS",0
"HSK","KT19HJTgEqnmi1cYyq8z2WFtyNTECodfixmj",2
"MEL","KT1BsDKTXBiYck85fJnoDzedyKKNtMuC9B9h",6
"NOLA","KT1Fm5fS6VhFyE9wgopXcoQ3Nyb5awLY2sQH",6
"RITA","KT1L98jqwZtKUZbcPNxb3pTY7b2WXUGEzn8G",6
"RSAL","KT1WDe2vJCDqz5euKupppQsioPcakUd45Tfo",0
"RTT","KT1QoKSXVnvytnkbMLu8Nqh9vH9qPdtvxR6K",2
"SEB","KT1S4WyNiYPoYheihysddNh5hojNFdiVBwZL",2
"SHTz","KT1G7Z14RJLKbfu96Hc22bwNL67aykunAGyH",2
"SOIL","KT1NXdxJkCiPkhwPvaT9CytFowuUoNcwGM1p",4
"STKR","KT1BMEEPX7MWzwwadW3NCSZe9XGmFJ7rs7Dr",18
"TITz","KT1BNRefGboWR4p2SFwDDTosjnPKPL9hVk3q",2
"TTT","KT1WYoYSdHNmNJf9pHWPoHJWDA3bid1NP9SJ",8
"Tacoz","KT1VfiExduEkrpM4TbsnAw9QV1VURqaRFGKs",18
"WEED","KT1TYjt5eLHRx3nQpSfaR94oQ6vehu24vvSQ",8
"WRAP","KT1FG63hhFtMEEEtmBSX2vuFmP87t9E7Ab4t",8
"bDAO","KT1DssMzoSr8fnUUq1WxeSuHfLG4gzS7pgge",6
"banana","KT1Sd8jvepChHEHo63owNfjnqgzJEkUWSj9q",2
"gDAO","KT198myhugqAVvtNbYgN4sBKMFRYBvprcKHf",6
"hDAO","KT1QxLqukyfohPV5kPkw97Rs6cw1DDDvYgbB",6
"kUSD","KT1K4EwTpbvYN9agJdjpyJm4ZZdhpUNKB3F6",18
"rugDao","KT1D3tdqrEkcwKkhJso5jmrJiyiaNVWtYiFJ",2
"sDAO","KT1PrRTVNgxkRgyqqNQvwTiVhd55dqyxXJ6n",0
"sUSD","KT1KFszq8UFCcWxnXuhZPUyHT9FK3gjmSKm6",6
"tCow","KT1XQZxsG4pMgcN7q7Nu3XFihsb9mEvqBmAT",2
"tCowLP","KT1UEfXGj5Ag73qCdZTk2534SZDT7cd7J8m8",0
"tDAO","KT1X6dAh8fwQMkWC9yh4yuvkJaS5NjqY4NvW",4
"tSpanish","KT1A834QfnWremTQ4tc63s8NKbHzLJVszgxc",0
"tezos10x","KT1A4Sj8TBg4pazMkj226bAAcH6A4iCNQno4",0
"token42","KT1M5H8qkJEzhdC3ZxZ78bSxgmcddrcusbry",0
"wBTC","KT1DksKXvCBJN7Mw6frGj6y6F3CbABWZVpj1",8
"wDAI","KT1PQ8TMzGMfViRq4tCMFKD2QF5zwJnY67Xn",18
"wLINK","KT1Lpysr4nzcFegC9ci9kjoqVidwoanEmJWt",18
"wMATIC","KT1RsfuBee5o7GtYrdB7bzQ1M6oVgyBnxY4S",18
"wPAX","KT1Ca5FGSeFLH3ugstc5p56gJDMPeraBcDqE",18
"wSUSHI","KT1Lotcahh85kp878JCEc1TjetZ2EgqB24vA",18
"wUSDC","KT1U2hs5eNdeCpHouAvQXGMzGFGJowbhjqmo",6
"wWETH","KT1DuYujxrmgepwSDHtADthhKBje9BosUs1w",18
